site_name,model_name,model_code,maker,lauch,os,sell_type,display_inch,display_centi,panel_type,resolution,ppi,refresh_rate,display_ratio,display_area,display_width,display_height,hdr_standard,ap_type,core_num,core_clock,graphic_core,npu_dsp,sensor_hub,com_modem,system_ram,in_mem,storage_device,out_mem,5G,4G,wifi,bluetooth,satelite,usim_type,dual_usim,cam_type,back_cam,front_cam,video,flash,picture_resol,front_disp_resol,front_video_resol,apecture,cam_char,trem_correction,trem_prevention,cam_flash,hdr_support,auto_hdr,optic_zoom,zio_tag,lazer_auto_focus,auto_focus,out_focus,touch_focus,panorama,tof_sensor,shoot_night_mode,earphone_term,speaker,high_sound_qual_play,sound_tech,fingerprint_recog,face_recog,iris_recog,speech_recog,ai,elec_payment,touch_pen,waterproof,etc,charge_term,battery_storage,battery_type,battery_char,battery_mount_method,charge_support,high_speed_charge,wireless_charge,color,length,width,thickness,weight
나무위키,아이폰7 Plus,A1784,apple,,iOS 10.0 | 11 | 12 | 13 | 14,,,5.5,IPS TFT-LCD,2208 x 1242,401,60Hz,16:09,,,,,Apple A10 Fusion APL1W24 SoC.  ,,Apple Hurricane Dual-Core 2.3 GHz CPUApple Zephyr Dual-Core 1.1 GHz CPU,IT PowerVR GT7600 900 MHz GPU,미탑재,Apple M10 모션 인식 프로세서,미탑재,3GB LPDDR4 SDRAM,32/128/256, NVMe,,,4G,,4.2,"GPS & A-GPS, GLONASS, Galileo, QZSS",,,,"1,200만  + 1,200만 ", 700만,,쿼드-LED True Tone 플래시광학 2배줌 지원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IP67 등급 방수 방진 지원,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접",USB 2.0 Apple Lightning 8-pin x 1,,,,,,,,"로즈 골드, 골드, 실버, 블랙, 제트 블랙, (PRODUCT)RED",77.9,158.2,7.3,188
나무위키,아이폰SE,A1723,apple,,iOS 9.3 | 10 | 11 | 12 | 13 | 14,,,4,IPS TFT-LCD,1136 x 640,326,60Hz,16:09,,,,,Apple A9 APL0898 & APL1022 SoC.  ,,Apple Twister Dual-Core 1.85 GHz CPU,IT PowerVR GT7600 600 MHz GPU,미탑재,Apple M9 모션 인식 프로세서,미탑재,,,,,,4G,,4.2,"GPS & A-GPS, GLONASS",,,,, 120만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," [ 기타 탑재 센서 정보 ]가속도, 자이로, 조도, 근접","USB 2.0 Apple Lightning 8-pin, 3.5 mm 단자",,,,,,,,"스페이스 그레이, 실버, 골드, 로즈 골드",58.6,123.8,7.6,113
나무위키,아이폰6s,A1688,apple,,iOS 9.0 | 10 | 11 | 12 | 13 | 14,,,4.7,IPS TFT-LCD,1334 x 750,326,60Hz,16:09,,,,,Apple A9 APL0898 & APL1022 SoC.  ,,Apple Twister Dual-Core 1.85 GHz CPU,IT PowerVR GT7600 600 MHz GPU,미탑재,Apple M9 모션 인식 프로세서,미탑재,2 GB LPDDR4 SDRAM,16/32/64/128, NVMe,,,4G,,4.2,"GPS & A-GPS, GLONASS, Galileo, QZSS",,,,, 500만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접","USB 2.0 Apple Lightning 8-pin x 1, 3.5 mm 단자 x 1",,,,,,,,"스페이스 그레이, 실버, 골드, 로즈 골드",67.1,138.3,7.1,143
나무위키,아이폰6s Plus,A1687,apple,,iOS 9.0 | 10 | 11 | 12 | 13 | 14,,,5.5,IPS TFT-LCD,2208 x 1242,401,60Hz,16:09,,,,,Apple A9 APL0898 & APL1022 SoC.  ,,Apple Twister Dual-Core 1.85 GHz CPU,IT PowerVR GT7600 600 MHz GPU,미탑재,Apple M9 모션 인식 프로세서,미탑재,2 GB LPDDR4 SDRAM,16/32/64/128, NVMe,,,4G,,4.2,"GPS & A-GPS, GLONASS, Galileo, QZSS",,,,, 500만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접","USB 2.0 Apple Lightning 8-pin x 1, 3.5 mm 단자 x 1",,,,,,,,"스페이스 그레이, 실버, 골드, 로즈 골드",77.9,158.2,7.3,192
나무위키,아이폰6,A1586,apple,,iOS 8.0 | 9 | 10 | 11 | 12.5,,,,,,,,,,,,,,,,,,,,1 GB LPDDR3 SDRAM,16/32/64/128,,,,,,4,,,,,, 120만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"VoLTE[4] 및 Wideband Audio 지원, 에어리어 방식 지문인식 지원, 모션 인식 프로세서 M8 탑재","USB 2.0 Apple Lightning 8-pin x 1, 3.5 mm 단자 x 1",,,,,,,,"스페이스 그레이, 실버, 골드[3]",67,138.1,6.9,129
나무위키,아이폰6 Plus,A1524,apple,,iOS 8.0 | 9 | 10 | 11 | 12.5,,,,,,,,,,,,,,,,,,,,1 GB LPDDR3 SDRAM,16/64/128,,,,,,4,,,,,, 120만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"VoLTE[2] 및 Wideband Audio 지원, 모션 인식 프로세서 M8 탑재","USB 2.0 Apple Lightning 8-pin x 1, 3.5 mm 단자 x 1",,,,,,,,"스페이스 그레이, 실버, 골드",77.8,158.1,7.1,172
나무위키,아이폰5s,A1530,apple,,iOS 7.0 | 8 | 9 | 10 | 11 | 12.5,,,,,,,,,,,,,,,,,,,,1GB LPDDR3 SDRAM,16/32/64,,,,,,4,,,,,, 120만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WideBand Audio 지원, 에어리어 방식 지문인식Touch ID 지원, 모션 인식 프로세서 M7 탑재","USB 2.0 Apple Lightning 8-pin, 3.5 mm 단자",,,,,,,,"스페이스 그레이, 실버, 골드[5][6]",58.6,123.8,7.6,112
나무위키,아이폰5c,A1532,apple,,iOS 7.0 | 8 | 9 | 10.3,,,,,,,,,,,,,,,,,,,,1GB LPDDR2 SDRAM,8/16/32,,,,,,4,,,,,, 120만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WideBand Audio 지원,"USB 2.0 Apple Lightning 8-pin, 3.5 mm 단자",,,,,,,,"그린, 화이트, 블루, 핑크, 옐로",59.2,124.4,8.97,132
나무위키,아이폰5,A1428,apple,,iOS 6.0 | 7 | 8 | 9 | 10.3,,,,,,,,,,,,,,,,,,,,1 GB LPDDR2 SDRAM,16/32/64,,,,,,4,,,,,, 120만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WideBand Audio 지원,"USB 2.0 Apple Lightning 8-pin x 1, 3.5 mm 단자 x 1",,,,,,,,"블랙/슬레이트, 화이트/실버",58.6,123.8,7.6,112
나무위키,아이폰4s,A1387,apple,,iOS 5.0 | 6 | 7 | 8 | 9.3,,,,,,,,,,,,,,,,,,,,512MB LPDDR2 SDRAM,8/16/32/64,,,,,,2.1,,,,,, 30만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,최초로 Siri 기능을 탑재 한 기종. iPhone 중 최초로 리니어식 진동 모터 탑재.,"USB 2.0 Apple 30-pin, 3.5 mm 단자",,,,,,,,"블랙, 화이트",58.6,115.2,9.3,140
나무위키,아이폰4,A1332,apple,,iOS 4.0 | 5 | 6 | 7.1,,,,,,,,,,,,,,,,,,,,512 MB LPDDR1 SDRAM,8/16/32,,,,,,2.1,,,,,, 30만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"가속도계, 근접 센서, GPS, 자기센서 탑재","USB 2.0 Apple 30-pin, 3.5 mm 단자",,,,,,,,"블랙, 화이트",58.6,115.2,9.3,137
나무위키,갤럭시 A90 5G,SM-A908,samsung,,안드로이드 9 (Pie) | 10 | 11Samsung One UI 1.5 | 2 | 2.5 | 3.1,,,6.7,Super AMOLED,2400 x 1080,393,60Hz,20:09,,,,,퀄컴 스냅드래곤 855 SM8150 Platform.  ,,Qualcomm Kryo 485 Gold Single-Core 2.84 GHz + Triple-Core 2.41 GHz CPUQualcomm Kryo 485 Silver Quad-Core 1.78 GHz CPU,퀄컴 Adreno 640 585 MHz GPU,퀄컴 Hexagon 690 DSP,DSP 대체,Qualcomm Snapdragon X24 LTE Modem,6 GB LPDDR4X SDRAM,128, UFS 3.0, micro SDXC (규격상 2 TB,5G,4G,,5,"GPS & A-GPS, GLONASS, Galileo, Beidou, QZSS",, (DisplayPort -.- 지원),,"4,800만  + 800만  + 500만 "," 3,200만",,LED 플래시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dolby Atmos 기술 탑재,  [ 기타 탑재 센서 정보 ]가속도, 자이로, 지자기, 홀, RGB 광, 근접",USB 3.1 Gen1 Type-C x 1,4500,내장형 Li-Ion  ,삼성전자 Super Fast Charging - USB Power Delivery 3.0 (25 W),,,,,"블랙, 화이트",76.4,164.8,8.4,206
나무위키,갤럭시 A50,SM-A505,samsung,,안드로이드 9 (Pie) | 10 | 11Samsung One UI 1.1 | 2 | 2.5 | 3.1,,,6.4,Super AMOLED,2340 x 1080,403,60Hz,19.5:9,,,,,삼성 엑시노스 7 Series (9610) SoC.  ,,ARM Cortex-A73 MP4 2.3 GHz CPUARM Cortex-A53 MP4 1.7 GHz CPU,ARM Mali-G72 MP3 1 GHz GPU,미탑재,ARM Cortex-M4F CPU,Shannon 337 LTE Modem,4 GB LPDDR4X SDRAM,64, UFS 2.1, micro SDXC (규격상 2 TB,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, Beidou, QZSS",,,,"2,500만  + 800만  + 500만 "," 2,500만",,LED 플래시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dolby Atmos 기술 탑재,"USB 2.0 Type-C x 1, 3.5 mm 단자 x 1",4000,내장형 Li-Ion  ,"삼성전자 Adaptive Fast Charging (15 W)퀄컴 퀵 차지 2.0 (15 W), USB Power Delivery 2.0 (15 W)",,,,,"블랙, 화이트, 코랄",74.7,158.5,7.7,166
나무위키,갤럭시 A40,SM-A405,samsung,,안드로이드 9 (Pie) | 10 | 11Samsung One UI 1.1 | 2 | 3.1,,,5.9,Super AMOLED,2340 x 1080,437,60Hz,19.5:9,,,,,삼성 엑시노스 7 Series (7904) SoC.  ,,ARM Cortex-A73 Dual-Core 1.8 GHz CPUARM Cortex-A53 Hexa-Core 1.6 GHz CPU,ARM Mali-G71 Dual-Core 845 MHz GPU,미탑재,미탑재,(파트넘버 불명) 내장,4 GB LPDDR4X SDRAM,64, eMMC -.-, micro SDXC (규격상 2 TB,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, Beidou, QZSS",,,,"1,600만  + 500만 "," 2,500만",,LED 플래시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dolby Atmos 기술 탑재,"USB 2.0 Type-C x 1, 3.5 mm 단자 x 1",3100,내장형 Li-Ion  ,삼성전자 Adaptive Fast Charging (15 W),,,,,"블랙, 화이트, 블루",69.2,144.4,7.9,140
나무위키,갤럭시 A30,SM-A305,samsung,,안드로이드 9 (Pie) | 10Samsung One UI 1.1 | 2,,,6.4,Super AMOLED,2340 x 1080,405,60Hz,19.5:9,,,,,삼성 엑시노스 7 Series (7904) SoC.  ,,ARM Cortex-A73 Dual-Core 1.8 GHz CPUARM Cortex-A53 Hexa-Core 1.6 GHz CPU,ARM Mali-G71 Dual-Core 845 MHz GPU,미탑재,미탑재,(파트넘버 불명) 내장,3 GB LPDDR4X SDRAM,32, eMMC -.-, micro SDXC (규격상 2 TB,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, Beidou, QZSS",,,,"1,600만  + 500만 "," 1,600만",,LED 플래시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,국제,"USB 2.0 Type-C x 1, 3.5 mm 단자 x 1",4000,내장형 Li-Ion  ,삼성전자 Adaptive Fast Charging (15 W)USB Power Delivery 2.0 (15 W),,,,,"블랙, 화이트, 레드",74.7,158.5,7.7,165
나무위키,갤럭시 와이드4,SM-A205,samsung,,안드로이드 9 (Pie) | 10Samsung One UI 1.1 | 2,,,6.4,Super AMOLED,1560 x 720,268,60Hz,19.5:9,,,,,삼성 엑시노스 7 Series (7884) SoC.  ,,ARM Cortex-A73 Dual-Core 1.6 GHz CPUARM Cortex-A53 Hexa-Core 1.35 GHz CPU,ARM Mali-G71 Dual-Core 845 MHz GPU,미탑재,미탑재,(파트넘버 불명) 내장,3 GB LPDDR4X SDRAM,32, eMMC -.-, micro SDXC (규격상 2 TB,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, Beidou",,,,"1,300만  + 500만 ", 800만,,LED 플래시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dolby Atmos 기술 탑재,  [ 기타 탑재 센서 정보 ]가속도, 자이로, 지자기, 홀, 근접","USB 2.0 Type-C x 1, 3.5 mm 단자 x 1",4000,내장형 Li-Ion  ,삼성전자 Adaptive Fast Charging (15 W)USB Power Delivery 2.0 (15 W),,,,,"블랙, 골드",74.7,158.4,7.8,169
나무위키,갤럭시 A9 Pro,SM-G887,samsung,,안드로이드 8.1 (Oreo) | 9 (Pie) | 10Samsung Experience 9.5 | Samsung One UI 1.1 | 2,,,6.4,PLS TFT-LCD,2340 x 1080,403,60Hz,19.5:9,,,,,퀄컴 스냅드래곤 710 SDM710 Platform.  ,,Qualcomm Kryo 360 Gold Dual-Core 2.208 GHz CPUQualcomm Kryo 360 Silver Hexa-Core 1.7088 GHz CPU,퀄컴 Adreno 616 504 MHz GPU,퀄컴 Hexagon 685 DSP,DSP 대체,Qualcomm Snapdragon X15 LTE Modem,6 GB LPDDR4X SDRAM,128, eMMC -.-,,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, Beidou",,,,"2,400만  + 1,000만  + 500만 "," 2,400만",,LED 플래시광학 2배줌 지원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dolby Atmos 기술 탑재,USB 2.0 Type-C x 1,3400,내장형 Li-Ion  ,삼성전자 Adaptive Fast Charging (15 W),,,,,"블랙, 앱솔루트 블랙, 블루",74.9,158.4,7.4,173
나무위키,갤럭시 A8 Star,SM-G885,samsung,,안드로이드 8.0 (Oreo) | 9 (Pie) | 10Samsung Experience 9.0 | Samsung One UI 1.1 | 2,,,6.3,Super AMOLED,2220 x 1080,391,60Hz,18.5:9,,,,,퀄컴 스냅드래곤 660 SDM660 Platform.  ,,Qualcomm Kryo 260 MP4 2.2 GHz + MP4 1.8 GHz CPU,퀄컴 Adreno 512 650 MHz GPU,퀄컴 Hexagon 680 DSP,DSP 대체,Qualcomm Snapdragon X12 LTE Modem,4 GB LPDDR4X SDRAM,64, eMMC -.-, micro SDXC (규격상 2 TB,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, Beidou",,,,"1,600만  + 2,400만 "," 2,400만",,LED 플래시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dolby Atmos 기술 탑재, 일부 모델 FM 라디오 지원","USB 2.0 Type-C x 1, 3.5 mm 단자 x 1",,,,,,,,"블랙, 화이트",77,162.4,7.6,191
나무위키,갤럭시 A9 2018,SM-A920,samsung,,안드로이드 8.0 (Oreo) | 9 (Pie) | 10Samsung Experience 9.0 | Samsung One UI 1.0 | 1.1 | 2,,,6.3,Super AMOLED,2220 x 1080,391,60Hz,18.5:9,,,,,퀄컴 스냅드래곤 660 SDM660 Platform.  ,,Qualcomm Kryo 260 Quad-Core 2.2 GHz + Quad-Core 1.8 GHz CPU,퀄컴 Adreno 512 650 MHz GPU,퀄컴 Hexagon 680 DSP,DSP 대체,Qualcomm Snapdragon X12 LTE Modem,6 GB LPDDR4X SDRAM,128, eMMC 5.1, micro SDXC (규격상 2 TB,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, Beidou",,,,"2,400만  + 1,000만  + 800만  + 500만 "," 2,400만",,LED 플래시광학 2배줌 지원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dolby Atmos 기술 탑재,"USB 2.0 Type-C x 1, 3.5 mm 단자 x 1",3800,내장형 Li-Ion  ,삼성전자 Adaptive Fast Charging (15 W),,,,,"캐비어 블랙, 레모네이드 블루, 버블검 핑크",77,162.5,7.8,183
